odb_file,param_group,realization,borehole,borehole_id,target_x,target_y,node_z,calculated_head
Job_P001_R07.odb,1,7,zk106,BH13,552.478,475.648,474.773,501.0639
Job_P001_R07.odb,1,7,zk136,BH14,393.028,343.22,484.06,466.0154
Job_P001_R07.odb,1,7,zk107,BH15,446.731,266.563,485.742,473.9675
Job_P001_R07.odb,1,7,zk135,BH16,354.713,291.468,486.725,439.6048
Job_P001_R07.odb,1,7,zk134,BH17,312.24,229.995,489.426,447.959
Job_P001_R07.odb,1,7,zk108,BH18,329.522,202.805,491.454,458.7093
Job_P001_R07.odb,1,7,zk133,BH19,245.013,207.144,486.842,439.8065
Job_P001_R07.odb,1,7,zk132,BH20,180.314,185.837,481.201,444.9055
Job_P001_R07.odb,1,7,zk109,BH21,166.718,120.398,482.295,444.8753
Job_P001_R07.odb,1,7,zk131,BH22,112.697,155.798,472.818,445.6031
Job_P001_R07.odb,1,7,zk110,BH23,63.104,220.681,460.829,432.0154
Job_P001_R08.odb,1,8,zk101,BH01,-107.247,837.298,460.635,451.4669
Job_P001_R08.odb,1,8,zk120,BH02,-79.056,786.162,460.024,434.8034
Job_P001_R08.odb,1,8,zk102,BH03,-1.701,784.3,474.041,445.1997
Job_P001_R08.odb,1,8,zk141,BH04,42.002,755.685,478.786,449.8562
Job_P001_R08.odb,1,8,zk103,BH05,97.323,727.843,485.133,449.2126
Job_P001_R08.odb,1,8,zk140,BH06,103.815,241.402,466.707,451.3612
Job_P001_R08.odb,1,8,zk139,BH07,189.974,727.986,498.776,465.6892
Job_P001_R08.odb,1,8,zk138,BH08,234.402,695.424,499.305,450.9268
Job_P001_R08.odb,1,8,zk104,BH09,286.261,668.745,499.627,451.3947
Job_P001_R08.odb,1,8,zk137,BH10,328.931,675.79,502.079,477.6092
Job_P001_R08.odb,1,8,zk105,BH11,483.884,586.18,487.554,510.568
Job_P001_R08.odb,1,8,zk410,BH12,416.455,437.474,482.247,506.0363
Job_P001_R08.odb,1,8,zk106,BH13,552.478,475.648,474.773,499.6391
Job_P001_R08.odb,1,8,zk136,BH14,393.028,343.22,484.06,463.1776
Job_P001_R08.odb,1,8,zk107,BH15,446.731,266.563,485.742,470.5476
Job_P001_R08.odb,1,8,zk135,BH16,354.713,291.468,486.725,438.017
Job_P001_R08.odb,1,8,zk134,BH17,312.24,229.995,489.426,446.7584
Job_P001_R08.odb,1,8,zk108,BH18,329.522,202.805,491.454,457.6416
Job_P001_R08.odb,1,8,zk133,BH19,245.013,207.144,486.842,439.4098
Job_P001_R08.odb,1,8,zk132,BH20,180.314,185.837,481.201,444.386
Job_P001_R08.odb,1,8,zk109,BH21,166.718,120.398,482.295,446.7064
Job_P001_R08.odb,1,8,zk131,BH22,112.697,155.798,472.818,445.7982
Job_P001_R08.odb,1,8,zk110,BH23,63.104,220.681,460.829,430.616
Job_P001_R09.odb,1,9,zk101,BH01,-107.247,837.298,460.635,451.5312
Job_P001_R09.odb,1,9,zk120,BH02,-79.056,786.162,460.024,433.7646
Job_P001_R09.odb,1,9,zk102,BH03,-1.701,784.3,474.041,445.3223
Job_P001_R09.odb,1,9,zk141,BH04,42.002,755.685,478.786,448.7281
Job_P001_R09.odb,1,9,zk103,BH05,97.323,727.843,485.133,447.4559
Job_P001_R09.odb,1,9,zk140,BH06,103.815,241.402,466.707,454.1571
Job_P001_R09.odb,1,9,zk139,BH07,189.974,727.986,498.776,464.5898
Job_P001_R09.odb,1,9,zk138,BH08,234.402,695.424,499.305,448.7632
Job_P001_R09.odb,1,9,zk104,BH09,286.261,668.745,499.627,448.3886
Job_P001_R09.odb,1,9,zk137,BH10,328.931,675.79,502.079,474.7497
Job_P001_R09.odb,1,9,zk105,BH11,483.884,586.18,487.554,507.9787
Job_P001_R09.odb,1,9,zk410,BH12,416.455,437.474,482.247,505.357
Job_P001_R09.odb,1,9,zk106,BH13,552.478,475.648,474.773,499.348
Job_P001_R09.odb,1,9,zk136,BH14,393.028,343.22,484.06,465.7109
Job_P001_R09.odb,1,9,zk107,BH15,446.731,266.563,485.742,471.6154
Job_P001_R09.odb,1,9,zk135,BH16,354.713,291.468,486.725,440.1618
Job_P001_R09.odb,1,9,zk134,BH17,312.24,229.995,489.426,448.2215
Job_P001_R09.odb,1,9,zk108,BH18,329.522,202.805,491.454,459.0192
Job_P001_R09.odb,1,9,zk133,BH19,245.013,207.144,486.842,441.5307
Job_P001_R09.odb,1,9,zk132,BH20,180.314,185.837,481.201,446.5432
Job_P001_R09.odb,1,9,zk109,BH21,166.718,120.398,482.295,447.1379
Job_P001_R09.odb,1,9,zk131,BH22,112.697,155.798,472.818,447.0073
Job_P001_R09.odb,1,9,zk110,BH23,63.104,220.681,460.829,433.2609
Job_P001_R10.odb,1,10,zk101,BH01,-107.247,837.298,460.635,452.6588
Job_P001_R10.odb,1,10,zk120,BH02,-79.056,786.162,460.024,434.3793
Job_P001_R10.odb,1,10,zk102,BH03,-1.701,784.3,474.041,445.069
Job_P001_R10.odb,1,10,zk141,BH04,42.002,755.685,478.786,447.8548
Job_P001_R10.odb,1,10,zk103,BH05,97.323,727.843,485.133,445.7713
Job_P001_R10.odb,1,10,zk140,BH06,103.815,241.402,466.707,451.3264
Job_P001_R10.odb,1,10,zk139,BH07,189.974,727.986,498.776,462.5237
Job_P001_R10.odb,1,10,zk138,BH08,234.402,695.424,499.305,447.8009
Job_P001_R10.odb,1,10,zk104,BH09,286.261,668.745,499.627,449.3976
Job_P001_R10.odb,1,10,zk137,BH10,328.931,675.79,502.079,475.2133
Job_P001_R10.odb,1,10,zk105,BH11,483.884,586.18,487.554,510.3112
Job_P001_R10.odb,1,10,zk410,BH12,416.455,437.474,482.247,507.5562
Job_P001_R10.odb,1,10,zk106,BH13,552.478,475.648,474.773,501.4904
Job_P001_R10.odb,1,10,zk136,BH14,393.028,343.22,484.06,466.7164
Job_P001_R10.odb,1,10,zk107,BH15,446.731,266.563,485.742,473.0661
Job_P001_R10.odb,1,10,zk135,BH16,354.713,291.468,486.725,440.4739
